,0
0,37.132324
1,38.874577
2,15942.498
3,0.0
4,0.0
5,4206.741
6,11358.78
7,7331.514
8,2025.6838
9,3787.3118
10,7778.8887
11,5032.2373
12,2536.1685
13,1841.2484
14,2642.9277
15,0.0
16,0.0
17,2350.048
18,773.4158
19,688.2584
20,2677.763
21,1902.0642
22,424.50162
23,224.83664
24,529.172
25,233.72177
26,0.0
27,871.58655
28,424.74103
29,3090.2842
30,4026.316
31,3161.164
32,1399.4509
33,2100.499
34,1066.1265
35,2551.295
36,1190.8998
37,730.676
38,705.1693
39,674.443
40,677.33594
41,1777.9349
42,1112.0613
43,1488.1298
44,696.0908
45,502.68652
46,1095.0719
47,800.8966
48,479.83582
49,312.318
50,482.71857
51,461.65222
52,354.7942
53,386.59143
54,4634.062
55,316.2917
56,620.80316
57,179.51213
58,293.8111
59,100.81566
60,287.2799
61,115.42183
62,401.66537
63,63.690693
64,683.3204
65,407.83112
66,698.8539
67,25.371246
68,235.82097
69,12.748037
70,412.008
71,331.12695
72,6714.954
73,1838894.5
74,645.1203
75,636.2464
76,398.1499
77,411.2464
78,95.08705
79,97.746796
80,42.7411
81,114.150826
82,209.43799
83,96.865265
84,57.299698
85,88.76442
86,96.96812
87,322.9016
88,381227.1
89,576.3584
90,608.8241
91,545.552
92,333.2979
93,888.1315
94,345.6715
95,164.90874
96,10470.654
97,434.8628
98,618.10144
99,288.88342
100,171.93275
101,378.94272
102,331.05334
103,420.71436
104,84.40979
105,255.34111
106,672.4714
107,1051.4734
108,684.9799
109,181.54828
110,427.79822
111,221.16527
112,67.274796
113,0.0
114,3813.3394
115,1582.1646
116,1728.0896
117,1144.4482
118,390.11917
119,433.5905
120,444.83527
121,426.5776
122,392.47192
123,243.92343
124,0.0
125,273.69507
126,502.411
127,526.7048
128,177.18076
129,210.41159
130,114.67476
131,160.34552
132,89.37747
133,153.61243
134,60.994858
135,109.59588
136,234.75102
137,345.22678
138,473.95078
139,94.182365
140,107.51873
141,2799.7969
142,342.00113
143,2887.819
144,0.0
145,3838.3342
146,308.7096
147,225.8457
148,6245.0195
149,76.73561
150,35.95155
151,48.4037
152,45.946503
153,184.36273
154,11.430151
155,31.833584
156,9394.295
157,64.97549
158,99.7863
159,27.599928
160,11.38781
161,55.775383
162,51.945946
163,72.19577
164,32.443832
165,28.67184
166,39.678715
167,47.62836
168,54.58222
169,1140.1292
170,47.940514
171,59.320877
172,45.874855
173,50.639565
174,72.783905
175,16.430212
176,110.50653
177,93.31581
178,55.038876
179,30.407804
