,0
0,0.23942727
1,0.21768935
2,0.29455945
3,0.4310632
4,0.19825925
5,0.3516445
6,0.6414898
7,0.27131692
8,0.41537035
9,0.34937498
10,0.632043
11,0.65791667
12,0.46531484
13,0.54311234
14,0.33574414
15,0.48080942
16,0.46345645
17,0.3712966
18,0.29530728
19,0.38221288
20,0.5131505
21,0.47289327
22,0.15060978
23,0.2123337
24,0.29663497
25,0.23767166
26,0.3236359
27,0.30820066
28,0.2969893
29,0.24045646
30,0.27262068
31,0.3015092
32,0.33092585
33,0.41893324
34,0.56001514
35,0.69542855
36,0.40673596
37,0.3875448
38,0.29329693
39,0.3748938
40,0.60036963
41,0.6384672
42,0.49479
43,0.46587867
44,0.51171404
45,0.4216423
46,0.8017536
47,0.7420128
48,0.6415306
49,1.0252606
50,0.652926
51,0.7318991
52,0.45328996
53,0.42518023
54,0.615691
55,0.7006777
56,0.42511615
57,0.5106354
58,0.55295694
59,0.44871464
60,0.56699723
61,0.5476489
62,0.5776677
63,0.3149845
64,0.3561852
65,0.7122677
66,0.69967055
67,0.86580896
68,0.5876499
69,0.46070644
70,0.6592801
71,0.41684675
72,0.30139625
73,0.38829863
74,0.28898522
75,0.36366674
76,0.35503867
77,0.2883562
78,0.121018834
79,0.17400107
80,0.3153697
81,0.25280073
82,0.3246545
83,0.4108118
84,0.46492195
85,0.40142202
86,0.18791315
87,0.33382782
88,0.31399998
89,0.18446949
90,0.13893116
91,0.22663851
92,0.121922
93,0.13205633
94,0.18357769
95,0.1328794
96,0.08832796
97,0.054097675
98,0.04358669
99,0.08078979
100,0.0640271
101,0.07762125
102,0.084217146
103,0.08237468
104,0.066158436
105,0.06587482
106,0.033007566
107,0.04251086
108,0.06817418
109,0.1266104
110,0.0835791
111,0.04359809
112,0.052411288
113,0.0577142
114,0.04842979
115,0.09727904
116,0.15616688
117,0.14466812
118,0.15350993
119,0.19190796
120,0.17382567
121,0.08430116
122,0.1378539
123,0.12293683
124,0.09970897
125,0.103964
126,0.09824037
127,0.09791867
128,0.14978354
129,0.2238281
130,0.07660898
131,0.16842942
132,0.08226196
133,0.078278065
134,0.111704364
135,0.29031947
136,0.29766774
137,0.266592
138,0.077602044
139,0.059039954
140,0.11374568
141,0.036906835
142,0.055463865
143,0.2305901
144,0.035826124
145,0.1321054
146,0.1065859
147,0.01673601
148,0.010709168
149,0.04854453
150,0.077856116
151,0.10222773
152,0.038452487
153,0.035958003
154,0.0071244715
155,0.0038256065
156,0.034733374
157,0.10452294
158,0.019904543
159,0.019132456
160,0.027359799
161,0.0
162,0.0
163,0.0019217029
164,0.012722083
165,0.0076425415
166,0.002867656
167,0.018900177
168,0.014961891
169,0.0
170,0.003336815
171,0.06058193
172,0.1771392
173,0.051228393
174,0.01612623
175,0.0054230923
176,0.019878143
177,0.028213223
178,0.04196337
179,0.019755922
180,0.02209548
181,0.018616956
182,0.00020712444
183,0.0
184,0.0
185,0.020219218
186,0.018113473
187,0.015930668
188,0.021610325
189,0.0010518051
190,0.020611223
191,0.0046117925
192,0.00845928
193,0.009429187
194,0.08146775
195,0.007894112
196,0.0028134817
197,0.0015861513
198,0.014062933
199,0.04251996
200,0.058953322
201,0.16665287
202,0.013631631
203,0.038856406
204,0.034026302
205,0.10757226
206,0.16693635
207,0.26777413
208,0.06485628
209,0.031453542
210,0.04687873
211,0.01441934
212,0.008869748
213,0.05639315
214,0.053484872
215,0.05026115
216,0.02817832
217,0.014450867
218,0.039399363
219,0.039124325
220,0.06358375
221,0.041473724
222,0.025252884
223,0.0109228715
224,0.002724134
225,0.0
226,0.0031656513
227,0.005462275
228,0.007489571
229,0.0046310523
230,0.006162522
231,0.0009612451
232,0.00032870332
233,0.0
234,0.00028580104
235,0.005404744
236,0.0128109865
237,0.019863214
238,0.02660259
239,0.0
240,0.006672749
241,0.018765835
242,0.0031947535
243,0.0055506076
244,0.003243178
245,0.0
246,0.0
247,0.001305748
248,0.00340682
249,0.013365317
250,0.010352078
251,0.024558268
252,0.0
253,0.05169493
254,0.020982467
255,0.007047183
256,0.01948355
257,0.022288686
258,0.0026206856
259,0.0007747896
260,0.014563634
261,0.0074113915
262,0.000414684
263,0.0076268455
264,0.02290781
265,0.0054395753
266,0.0064008203
267,0.0
268,0.0
269,0.01266391
270,0.07498206
