,0
0,-4.7762497156744494
1,-4.6970995093727606
2,-4.730371142763197
3,-4.73565713597821
4,-4.592962997266113
5,-4.530778307489333
6,-4.625524593947134
7,-4.71511241309243
8,-4.727378414027774
9,-4.721020364656489
10,-4.713557634076783
11,-4.533196191107059
12,-4.300387063652462
13,-4.258948361860806
14,-4.033214461986806
15,-3.8851796551525
16,-4.0734239555787894
17,-4.269055180030746
18,-4.3722176805638355
19,-4.346466770555788
20,-4.347908586821739
21,-4.428157026166316
22,-4.549290723182843
23,-4.528387886632677
24,-4.613352494490545
25,-4.5904215825513415
26,-4.578522617736831
27,-4.575663390367133
28,-4.52388290233999
29,-4.453851274427804
30,-4.456613879875944
31,-4.504861458755166
32,-4.540690173577376
33,-4.542645120123438
34,-4.468045491768649
35,-4.503154613460269
36,-4.5933274578422205
37,-4.651856442449656
38,-4.706303749099017
39,-4.669971675057158
40,-4.6851370164580235
41,-4.64673275066331
42,-4.574512973805524
43,-4.581436687101661
44,-4.570536749283319
45,-4.468587284655493
46,-4.4146955403273225
47,-4.586387898634944
48,-4.686257050948269
49,-4.7430158648593475
50,-4.879851489640316
51,-4.823729457087962
52,-4.7943211133776575
53,-4.724995819327322
54,-4.759449419855674
55,-4.772901124248971
56,-4.5838358494750455
57,-4.514107671140803
58,-4.493533067264143
59,-4.429504965030729
60,-4.346655711274327
61,-4.212283596518057
62,-4.192135543619201
63,-4.183754357717773
64,-4.098743506408382
65,-4.0399606994627995
66,-4.268461129453671
67,-4.4323684840721445
68,-4.391546510054297
69,-4.234613025696424
70,-4.098909961985649
71,-4.023162972852141
72,-3.981416122983187
73,-3.8730525362012433
74,-3.7558108758592557
75,-3.6411452426355924
76,-3.593413124438671
77,-3.635508439376605
78,-3.6884414599906066
79,-3.6071557399924634
80,-3.6521151171913946
81,-3.7011389549846676
82,-3.6301686264337283
83,-3.6215533148332035
84,-3.478959078558863
85,-3.3628714615968134
86,-3.3328054885954486
87,-3.3271460170225615
88,-3.2791387423446388
89,-3.178885713404096
90,-3.1267450958838685
91,-3.032187263923797
92,-2.931764455122568
93,-2.908059888414069
94,-2.8962072179140996
95,-2.8684676379430623
96,-2.823278121395071
97,-2.786385742356993
98,-2.728468021492764
99,-2.7055132465480707
100,-2.7175574661726283
101,-2.719986643216043
102,-2.7127680829530587
103,-2.6889526824156595
104,-2.6750291121696086
105,-2.6368917860320695
106,-2.621269441090326
107,-2.609012306385914
108,-2.606586932866608
109,-2.629963096670192
110,-2.6711586671843555
111,-2.659894068357595
112,-2.6365443557408574
113,-2.63087513470344
114,-2.6108537621697523
115,-2.616047762937394
116,-2.569768000267425
117,-2.506908285089833
118,-2.5336625552255443
119,-2.502774816910348
120,-2.425455954904887
121,-2.3898549387741426
122,-2.326312093943082
123,-2.2890278177219496
124,-2.3006049420652097
125,-2.3172042245372086
126,-2.223540136561927
127,-2.1391476578634183
128,-2.062314336624884
129,-2.166962471996146
130,-2.312115418591585
131,-2.3869086305848715
132,-2.4171262157314244
133,-2.321615535358614
134,-2.238258861323164
135,-2.2867162054264782
136,-2.5344212697473094
137,-2.690083740803898
138,-2.760036579861488
139,-2.7377760861007285
140,-2.722616273484703
141,-2.6657583574145742
142,-2.5581533833661965
143,-2.5817153433420383
144,-2.6000596647771888
145,-2.6398669311056313
146,-2.75688194428967
147,-2.8101405095152874
148,-2.7828697187928886
149,-2.7904550096040777
150,-2.7978418878215257
151,-2.7454492844641214
152,-2.668245312094771
153,-2.6267908524600685
154,-2.607049663421693
155,-2.5620518072658993
156,-2.5654264499355808
157,-2.6006389000413197
158,-2.5450423203277377
159,-2.478849220779755
160,-2.438531231054916
161,-2.3573286192500196
162,-2.32893902264194
163,-2.334250910829901
164,-2.297108133290565
165,-2.2506032662363498
166,-2.2181054250435404
167,-2.1988652374276896
168,-2.1817598206396935
169,-2.2055504380732467
170,-2.1931941646059894
171,-2.156700814333541
172,-2.262223906482318
173,-2.352041903620158
174,-2.3291679435599435
175,-2.290049244763882
176,-2.2884475925306127
177,-2.2873354315818646
178,-2.25557674981939
179,-2.20145412976078
180,-2.1508251470884745
181,-2.0597851580376494
182,-1.9914948896395201
183,-1.9922494995461988
184,-1.9929305164233395
185,-1.987373704411913
186,-1.9622228282842546
187,-1.924588183930612
188,-1.9466223413023818
189,-1.9973165621210125
190,-1.990199272133896
191,-1.960984294974898
192,-1.918300115783679
193,-1.9158456507138817
194,-1.9115793132495067
195,-1.8428448538948548
196,-1.7152901260691746
197,-1.690296418686069
198,-1.70190047070378
199,-1.6581257348548961
200,-1.5969198135860454
201,-1.7510876872148964
202,-1.9513747873857288
203,-1.939309180330293
204,-1.966994754854583
205,-1.8900952923802765
206,-2.095275589399807
207,-2.3535254508411705
208,-2.4431621012154867
209,-2.2848331941114868
210,-2.23306133942028
211,-2.152811962291665
212,-2.0951662643070565
213,-2.098627282379563
214,-2.126343224931868
215,-2.0851935464910376
216,-1.9928761136003066
217,-1.94319920559749
218,-1.9021488406705918
219,-1.9542771024563428
220,-1.914473212183983
221,-1.791706458282393
222,-1.683661944218156
223,-1.6182652975571046
224,-1.6031867220073854
225,-1.600698773756212
226,-1.591728644944994
227,-1.570746978922187
228,-1.5621113469439891
229,-1.5645499908301177
230,-1.5705265900530672
231,-1.549276793655612
232,-1.5347829957474968
233,-1.5456948095816712
234,-1.5366871577000654
235,-1.53046998897895
236,-1.5170316074960999
237,-1.5032273176809792
238,-1.511455618097764
239,-1.5372071631137019
240,-1.5412779574007167
241,-1.5257380742407285
242,-1.4688092370723655
243,-1.4332721860131041
244,-1.4139119066237877
245,-1.4093203420868812
246,-1.4082447123798276
247,-1.418005339929565
248,-1.4264949270022842
249,-1.4324659698591318
250,-1.4518472285020683
251,-1.446451778581605
252,-1.4127364959384776
253,-1.4240497715596945
254,-1.4662869313714235
255,-1.447067633899986
256,-1.4461775404068038
257,-1.3846212790670402
258,-1.3190603475568055
259,-1.295869861219039
260,-1.2833713223838865
261,-1.3232034986114065
262,-1.3430869545152033
263,-1.3501540669820602
264,-1.3579664188707703
265,-1.3098227754658907
266,-1.3063220762953534
267,-1.310526386640035
268,-1.2949922763167856
269,-1.2693449544377262
270,-1.3315365658946765
271,-1.4049633536798822
272,-1.3460850004659113
273,-1.2878420617381725
274,-1.3080983264495856
275,-1.297197061824471
276,-1.2390091069438314
277,-1.2208076898671991
278,-1.162929644193647
279,-1.1203488851547578
280,-1.1115419708750838
281,-1.1204015138877463
282,-1.0715583774090223
283,-1.017953101001278
284,-1.0109815104026385
285,-1.0251786607274658
286,-1.0443243339838024
287,-1.052382539045782
288,-1.0528962293067838
289,-1.0487568452864027
290,-1.0459248111310506
291,-1.0367241894240589
292,-1.0445795584968693
293,-1.0096205451622726
294,-0.960350640101283
295,-0.9586785723734299
296,-0.9606969194278195
297,-0.945628093902454
298,-0.936418627499082
299,-0.9314679088820637
300,-0.928934879852716
301,-0.9314508182153153
302,-0.9339911528363898
303,-0.9345739264377891
304,-0.9133963140622061
305,-0.9059219477100621
306,-0.9056957919025896
307,-0.9104100745024555
308,-0.9003971125695978
309,-0.8888804007692486
310,-0.8949072314443002
311,-0.879418211534303
312,-0.8688025912066525
313,-0.8817941365758637
314,-0.9195447654206025
315,-0.9230615975885478
316,-0.9164556672574611
317,-0.9100971534418756
318,-0.9143762924208962
319,-0.9205598344927646
320,-0.9247480736757652
321,-0.9199035441594434
322,-0.9131755354563452
323,-0.9451206522131826
324,-0.9820530998142265
325,-0.9845035523099925
326,-0.9709571567494837
327,-0.9335840979018925
328,-0.9171957532083572
329,-0.9107287968868727
330,-0.8987247256544639
331,-0.8228201268832609
332,-0.7636449487436073
333,-0.7654476726498329
334,-0.7752493495382227
335,-0.7746958297091082
336,-0.767700002728301
337,-0.7557640694402101
338,-0.7675211431595845
339,-0.7869720802215776
340,-0.785465242378248
341,-0.8007136198361964
342,-0.816674818081571
343,-0.811973885427002
344,-0.8013801646628163
345,-0.7882621641469092
346,-0.7727776183980496
347,-0.7691950157265185
348,-0.7737587528718513
349,-0.7620165731869302
350,-0.7407860371294315
351,-0.7770964017909777
352,-0.8238830467886343
353,-0.826526890417826
354,-0.8462947800363422
355,-0.8442179017795441
356,-0.8316915195534862
357,-0.8429333089416129
358,-0.8428133112966404
359,-0.7932249104041322
360,-0.7718089846134293
361,-0.7583095861115127
362,-0.6880200903381377
363,-0.7623795385372822
364,-0.9489128889901293
365,-1.0489102626434934
366,-1.1152473695707408
367,-1.1154498618825825
368,-1.1123893911260971
369,-1.1026492298564603
370,-1.0988672552724026
371,-1.1212365522453407
372,-1.1232035162651466
373,-1.1019437007736677
374,-1.1192841850785213
375,-1.1471909366441961
376,-1.164644954814255
377,-1.1760901679317013
378,-1.1920326569023572
379,-1.175084831564651
380,-1.140768793034654
381,-1.1389795022054576
382,-1.1174877993950822
383,-1.1328677410401902
384,-1.1250028874692422
385,-1.0914201565823087
386,-1.0842013348964576
387,-1.107227794060479
388,-1.1004526014561875
389,-1.1007955824173383
390,-1.1891196012914207
391,-1.1912296071014685
392,-1.165716512094351
393,-1.2039347746448201
394,-1.2462077614111315
395,-1.1933731621854373
396,-1.1155168617147329
397,-1.0470690217321603
398,-1.0926240488905896
399,-1.0498366325918154
400,-1.0671366517750829
401,-1.1578315409238202
402,-1.0864818321190453
403,-0.8880193987873806
404,-1.0117875047391984
405,-1.2572496693953885
406,-1.4603990526804136
407,-1.4906265489921187
408,-1.4765428420259883
409,-1.4692995340910728
410,-1.4004852492526418
411,-1.2356281195525902
412,-1.2428637712188724
413,-1.241512177901657
414,-1.0604591831935308
415,-0.8491190309540518
416,-0.7766131568230557
417,-0.7813122517972539
418,-0.7867897434849775
419,-0.7922221661364696
420,-0.7939832362115676
421,-0.7702582311856294
422,-0.7659807269409558
423,-0.6737876904846711
424,-0.5902215806083091
425,-0.576317322503242
426,-0.5713036467488346
427,-0.5674375602410195
428,-0.5544722666769362
429,-0.4094439722454948
430,-0.2073477554600494
431,-0.1298246657303211
432,-0.11127955321308292
433,-0.09535975783810753
